UserId;TransactionId;Year;Month;Day;Time;ItemCode;ItemDescription;NumberOfItemsPurchased;CostPerItem;SellingPricePerItem;Country;ClientKeywords
336693;6197884;2018;Oct;28;09:50:00;459963;MAN FLU METAL SIGN;6;2.9;4.64;United Kingdom;['Senior', 'Corporation', '2-5 Year Client']
308280;5962924;2018;Apr;8;08:31:00;435288;LUNCH BAG CARS BLUE;90;2.28;3.88;United Kingdom;['Young Adult', 'Small Business', 'New Client']
377937;6226627;2018;Nov;20;11:16:00;444759;NO JUNK MAIL METAL SIGN;72;0.54;0.65;United Kingdom;['Young Adult', 'Corporation', '2-5 Year Client']
318969;6150430;2018;Sep;17;08:56:00;454818;GLASS  BEURRE DISH;72;4.68;8.42;United Kingdom;['Middle Age', 'Solo Entrepreneur', 'Loyal Client']
-1;6149418;2018;Sep;16;11:31:00;474873;PACK OF 20 SPACEBOY NAPKINS;3;2.25;3.15;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
371175;6183606;2018;Oct;15;06:45:00;440538;36 PENCILS TUBE SKULLS;48;1.73;3.11;United Kingdom;['Adult', 'Solo Entrepreneur', '2-5 Year Client']
313992;6275643;2018;Dec;23;06:33:00;461664;PACK OF 12 PINK PAISLEY TISSUES ;72;0.54;0.81;United Kingdom;['Young Adult', 'Corporation', 'Loyal Client']
327684;6288656;2018;Dec;30;10:47:00;465738;VICTORIAN GLASS HANGING T-LIGHT;18;2.7;4.32;United Kingdom;['Senior', 'Corporation', '2-5 Year Client']
336420;6359661;2019;Feb;4;07:18:00;490455;HOT WATER BOTTLE KEEP CALM;12;6.84;12.31;United Kingdom;['Middle Age', 'Corporation', 'New Client']
297066;6379318;2019;Feb;12;06:18:00;492513;OVAL  MINI PORTRAIT FRAME;24;2.7;4.86;United Kingdom;['Senior', 'Small Business', 'New Client']
260148;6249595;2018;Dec;7;07:30:00;488145;SET OF 3 REGENCY CAKE TINS;24;6.84;7.52;Australia;['Adult', 'Corporation', 'Loyal Client']
-1;6390813;2019;Feb;17;12:26:00;476763;PINK CAT BOWL;6;2.25;2.48;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
275877;6212019;2018;Nov;9;08:44:00;479955;FINE WICKER HEART ;30;1.73;1.9;United Kingdom;['Senior', 'Corporation', 'Loyal Client']
308196;6244777;2018;Dec;4;05:52:00;479157;CARD SUKI BIRTHDAY;108;0.58;0.87;United Kingdom;['Senior', 'Corporation', '2-5 Year Client']
291060;6232842;2018;Nov;26;05:27:00;471765;HANGING METAL STAR LANTERN;36;2.28;2.96;United Kingdom;['Senior', 'Solo Entrepreneur', '2-5 Year Client']
302547;6169504;2018;Oct;2;09:54:00;358911;VANILLA INCENSE IN TIN;108;0.53;0.64;United Kingdom;['Senior', 'Solo Entrepreneur', 'New Client']
339213;6197070;2018;Oct;28;05:34:00;452319;RED RETROSPOT BUTTER DISH;18;6.84;11.63;United Kingdom;['Middle Age', 'Solo Entrepreneur', 'New Client']
323547;6321260;2019;Jan;18;07:55:00;493563;PLAYING CARDS KEEP CALM & CARRY ON;3;1.73;2.77;United Kingdom;['Young Adult', 'Solo Entrepreneur', 'Loyal Client']
324156;6057161;2018;Jul;1;12:52:00;472017;WATERING CAN GARDEN MARKER;6;1.73;2.77;United Kingdom;['Middle Age', 'Small Business', '2-5 Year Client']
360024;6238023;2018;Nov;28;08:50:00;452004;DOORMAT SPOTTY HOME SWEET HOME;6;11.39;19.36;United Kingdom;['Middle Age', 'Corporation', 'Loyal Client']
270207;5927790;2018;Feb;25;12:39:00;473256;MAGIC DRAWING SLATE PURDEY;6;0.58;0.7;United Kingdom;['Young Adult', 'Corporation', 'Loyal Client']
315924;6309061;2019;Jan;12;09:35:00;1732374;WOODEN FRAME ANTIQUE WHITE ;18;4.08;5.71;United Kingdom;['Middle Age', 'Corporation', '2-5 Year Client']
-1;5956676;2018;Apr;1;13:34:00;477162;SET OF 6 SPICE TINS PANTRY DESIGN;6;11.45;20.61;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
300909;6015757;2018;May;29;14:14:00;466452;FOUR HOOK  WHITE LOVEBIRDS;-3;2.9;3.48;United Kingdom;['Young Adult', 'Corporation', 'New Client']
325164;6246383;2018;Dec;4;09:31:00;357063;BROCADE RING PURSE ;216;0.54;0.81;United Kingdom;['Senior', 'Solo Entrepreneur', '2-5 Year Client']
-1;6396412;2019;Feb;20;06:03:00;478989;SET OF 6 T-LIGHTS SANTA;3;8;14.4;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
-1;6314814;2019;Jan;14;11:33:00;1765638;SET/4 WHITE RETRO STORAGE CUBES ;3;80.45;112.63;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
-1;6104560;2018;Aug;8;11:18:00;466137;SMALL POPCORN HOLDER;12;2.25;3.83;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
267183;6266689;2018;Dec;17;11:52:00;489699;BOX OF 6 MINI 50'S CRACKERS;6;3.44;5.16;France;['Young Adult', 'Solo Entrepreneur', '2-5 Year Client']
289317;6340114;2019;Jan;27;04:50:00;435225;LUNCH BAG RED RETROSPOT;270;2.01;3.62;United Kingdom;['Young Adult', 'Corporation', 'New Client']
-1;5986211;2018;May;1;06:11:00;1787079;JUMBO  BAG BAROQUE BLACK WHITE;15;5.7;6.27;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
-1;6137318;2018;Sep;4;11:35:00;472332;MINI PAINT SET VINTAGE ;3;2.25;3.6;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
336273;6300426;2019;Jan;7;06:03:00;479031;SET OF 6 T-LIGHTS CACTI ;144;3.52;3.87;United Kingdom;['Young Adult', 'Corporation', '2-5 Year Client']
300006;6343150;2019;Jan;28;06:34:00;462588;PENNY FARTHING BIRTHDAY CARD;36;0.58;0.7;United Kingdom;['Young Adult', 'Corporation', 'New Client']
371406;6241719;2018;Dec;2;07:39:00;483588;DRAWER KNOB CRACKLE GLAZE BLUE;36;2.28;4.1;United Kingdom;['Middle Age', 'Solo Entrepreneur', 'Loyal Client']
336693;6321700;2019;Jan;18;09:53:00;461496;PACK OF 60 MUSHROOM CAKE CASES;3;0.76;1.29;United Kingdom;['Senior', 'Corporation', '2-5 Year Client']
-1;5945148;2018;Mar;21;09:55:00;1784370;HANGING HEART ZINC T-LIGHT HOLDER;18;2.94;3.23;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
297276;6196905;2018;Oct;27;10:39:00;474789;PENS ASSORTED SPACEBALL;108;0.27;0.46;EIRE;['Young Adult', 'Small Business', 'New Client']
336693;6197884;2018;Oct;28;09:50:00;1733907;AIRLINE LOUNGE METAL SIGN;6;2.9;4.64;United Kingdom;['Senior', 'Corporation', '2-5 Year Client']
282408;6242214;2018;Dec;2;08:53:00;471870;HEART OF WICKER LARGE;6;4.08;6.53;United Kingdom;['Senior', 'Solo Entrepreneur', '2-5 Year Client']
275877;6373389;2019;Feb;10;08:09:00;439194;SET/5 RED RETROSPOT LID GLASS BOWLS;15;4.08;6.53;United Kingdom;['Senior', 'Corporation', 'Loyal Client']
370314;6076884;2018;Jul;21;09:10:00;1787583;WHITE HANGING HEART T-LIGHT HOLDER;9;4.08;5.71;United Kingdom;['Young Adult', 'Solo Entrepreneur', 'New Client']
358239;6331622;2019;Jan;22;08:27:00;489531;VINTAGE CHRISTMAS STOCKING ;6;3.52;4.93;United Kingdom;['Senior', 'Corporation', '2-5 Year Client']
361998;5959734;2018;Apr;4;09:21:00;470631;JUMBO SHOPPER VINTAGE RED PAISLEY;6;2.7;3.78;United Kingdom;['Young Adult', 'Solo Entrepreneur', 'New Client']
364098;5924886;2018;Feb;24;08:57:00;473109;MAGIC DRAWING SLATE GO TO THE FAIR ;18;0.58;0.81;United Kingdom;['Senior', 'Corporation', 'Loyal Client']
-1;6149605;2018;Sep;16;13:09:00;482055;36 FOIL STAR CAKE CASES ;3;3.4;5.78;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
306012;6307180;2019;Jan;11;10:04:00;475734;DELUXE SEWING KIT ;6;8.22;14.8;United Kingdom;['Senior', 'Solo Entrepreneur', 'Loyal Client']
-1;6032103;2018;Jun;11;12:34:00;472017;WATERING CAN GARDEN MARKER;3;3.4;5.44;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
338751;6049945;2018;Jun;26;04:32:00;461643;PACK OF 12 BLUE PAISLEY TISSUES ;72;0.41;0.53;United Kingdom;['Young Adult', 'Small Business', '2-5 Year Client']
347193;6352676;2019;Feb;1;09:08:00;469581;GLASS JAR DAISY FRESH COTTON WOOL;3;4.08;5.3;United Kingdom;['Adult', 'Corporation', '2-5 Year Client']
278313;5941056;2018;Mar;18;11:43:00;471891;TV DINNER TRAY AIR HOSTESS ;48;2.7;4.86;United Kingdom;['Senior', 'Small Business', 'Loyal Client']
267708;6366327;2019;Feb;6;07:41:00;435855;BLUE PAISLEY POCKET BOOK;3;1.18;1.77;United Kingdom;['Young Adult', 'Corporation', 'Loyal Client']
324429;6021620;2018;Jun;4;06:43:00;442680;SET/20 RED RETROSPOT PAPER NAPKINS ;36;1.18;2.12;United Kingdom;['Senior', 'Corporation', 'New Client']
-1;5921839;2018;Feb;21;10:59:00;457989;CHRISTMAS HANGING TREE WITH BELL;3;3.47;4.51;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
313131;6333261;2019;Jan;23;06:32:00;464898;BAKING SET 9 PIECE RETROSPOT ;18;6.84;10.26;EIRE;['Adult', 'Solo Entrepreneur', 'New Client']
308364;6075135;2018;Jul;20;08:58:00;445473;PACK OF 72 SKULL CAKE CASES;3;0.76;0.91;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
374661;6095760;2018;Aug;4;07:49:00;481047;PACK OF 20 NAPKINS PANTRY DESIGN;3;1.18;1.53;United Kingdom;['Senior', 'Corporation', 'New Client']
268212;6275489;2018;Dec;23;05:19:00;474138;WOODEN STAR CHRISTMAS SCANDINAVIAN;36;0.41;0.7;Portugal;['Senior', 'Solo Entrepreneur', 'New Client']
315693;6204572;2018;Nov;3;09:40:00;487326;LUNCH BAG APPLE DESIGN;3;2.28;3.65;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
-1;6052332;2018;Jun;27;06:41:00;474999;SET OF 6 SOLDIER SKITTLES;3;10.3;14.42;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
316260;6376821;2019;Feb;11;10:17:00;477855;SMALL PURPLE BABUSHKA NOTEBOOK ;3;1.18;2.01;United Kingdom;['Young Adult', 'Corporation', 'New Client']
334110;5993207;2018;May;8;06:29:00;463827;PAPER BUNTING WHITE LACE;3;4.08;5.71;United Kingdom;['Middle Age', 'Corporation', 'New Client']
-1;6371057;2019;Feb;9;11:31:00;435393;GOLD MINI TAPE MEASURE ;9;1.15;1.38;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
306726;6046920;2018;Jun;23;11:25:00;457464;SHOE SHINE BOX ;3;13.74;16.49;United Kingdom;['Middle Age', 'Small Business', '2-5 Year Client']
359646;6154984;2018;Sep;21;09:52:00;445347;SKULL AND CROSSBONES  GARLAND ;3;2.28;2.51;United Kingdom;['Senior', 'Small Business', '2-5 Year Client']
275058;6304573;2019;Jan;8;13:56:00;490245; DOLLY GIRL BEAKER;36;1.73;2.94;United Kingdom;['Young Adult', 'Corporation', 'New Client']
331905;6299172;2019;Jan;6;08:11:00;494949;TRADTIONAL ALPHABET STAMP SET;12;6.84;8.21;United Kingdom;['Young Adult', 'Solo Entrepreneur', 'New Client']
-1;5955664;2018;Mar;31;13:57:00;471870;HEART OF WICKER LARGE;3;8;10.4;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
267708;6334834;2019;Jan;23;10:25:00;463491;SMALL WHITE RETROSPOT MUG IN BOX ;327;0.69;0.9;United Kingdom;['Young Adult', 'Corporation', 'Loyal Client']
-1;6236439;2018;Nov;27;12:32:00;482958;TRAVEL CARD WALLET KEEP CALM;3;1.15;1.96;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
290094;6226451;2018;Nov;20;09:48:00;445410;SET OF 72 RETROSPOT PAPER  DOILIES;36;2.01;3.22;Germany;['Adult', 'Corporation', '2-5 Year Client']
-1;6214714;2018;Nov;12;11:32:00;445536;SET 3 RETROSPOT TEA COFFEE SUGAR;3;14.9;26.82;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
369285;6019640;2018;Jun;2;12:32:00;463386;LOVE HEART TRINKET POT;6;0.54;0.97;United Kingdom;['Adult', 'Corporation', '2-5 Year Client']
-1;5960570;2018;Apr;7;05:39:00;457254;DECORATIVE CATS BATHROOM BOTTLE;3;3.4;4.42;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
-1;5918781;2018;Feb;20;10:09:00;478317;GLASS CLOCHE LARGE;3;23.44;39.85;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
308007;5921377;2018;Feb;21;09:27:00;444234;RED RETROSPOT OVEN GLOVE ;3;1.73;2.94;United Kingdom;['Adult', 'Small Business', 'Loyal Client']
302715;6395532;2019;Feb;19;10:38:00;486024;ZINC T-LIGHT HOLDER STARS SMALL;36;1.15;1.96;United Kingdom;['Adult', 'Solo Entrepreneur', 'Loyal Client']
365484;6150595;2018;Sep;17;10:17:00;472311;PACK OF 12 COLOURED PENCILS;864;1.18;2.12;Sweden;['Young Adult', 'Corporation', 'New Client']
300090;6370826;2019;Feb;9;10:02:00;477225;ALARM CLOCK BAKELIKE CHOCOLATE;12;5.18;8.81;United Kingdom;['Young Adult', 'Corporation', '2-5 Year Client']
278523;6277150;2018;Dec;23;09:13:00;490455;HOT WATER BOTTLE KEEP CALM;6;6.84;10.94;United Kingdom;['Young Adult', 'Corporation', '2-5 Year Client']
339381;6246669;2018;Dec;4;10:53:00;1764672;CHARLIE+LOLA PINK HOT WATER BOTTLE;18;4.08;6.53;United Kingdom;['Middle Age', 'Solo Entrepreneur', 'New Client']
365337;6347572;2019;Jan;29;10:08:00;1764630;ENGLISH ROSE HOT WATER BOTTLE;6;5.87;6.46;United Kingdom;['Adult', 'Small Business', '2-5 Year Client']
259770;6008596;2018;May;22;08:48:00;478464;LANTERN CREAM GAZEBO ;18;6.84;11.63;Cyprus;['Young Adult', 'Small Business', '2-5 Year Client']
296352;6307499;2019;Jan;11;12:00:00;483315;CORDIAL JUG;12;11.39;13.67;United Kingdom;['Senior', 'Small Business', 'New Client']
278691;6314693;2019;Jan;14;10:31:00;452130;DAIRY MAID TOASTRACK;3;1.1;1.32;United Kingdom;['Senior', 'Solo Entrepreneur', 'Loyal Client']
343287;6370606;2019;Feb;9;09:14:00;490476;LOVE HOT WATER BOTTLE;3;8.22;9.86;United Kingdom;['Adult', 'Small Business', '2-5 Year Client']
-1;6395829;2019;Feb;19;12:30:00;1732374;WOODEN FRAME ANTIQUE WHITE ;3;10.3;11.33;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
263319;6021257;2018;Jun;3;12:00:00;484029;RECYCLED ACAPULCO MAT RED;6;11.39;14.81;Spain;['Young Adult', 'Small Business', 'New Client']
-1;6391253;2019;Feb;18;06:35:00;482958;TRAVEL CARD WALLET KEEP CALM;9;1.15;1.61;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
319683;6036228;2018;Jun;16;08:28:00;470883;REGENCY CAKESTAND 3 TIER;-24;17.6;29.92;United Kingdom;['Middle Age', 'Corporation', 'Loyal Client']
353472;6074101;2018;Jul;18;10:12:00;999390;BLUE HAPPY BIRTHDAY BUNTING;9;7.53;11.3;United Kingdom;['Senior', 'Corporation', 'New Client']
340662;5963177;2018;Apr;8;09:38:00;447993;CLASSIC WHITE FRAME;3;4.08;5.3;United Kingdom;['Adult', 'Solo Entrepreneur', 'New Client']
289107;5908969;2018;Feb;16;09:29:00;451101;FAWN BLUE HOT WATER BOTTLE;72;4.08;6.53;United Kingdom;['Adult', 'Small Business', 'New Client']
341859;6232644;2018;Nov;25;12:26:00;489006;BLUE VINTAGE SPOT BEAKER;24;1.18;1.3;United Kingdom;['Adult', 'Corporation', 'Loyal Client']
-1;6077588;2018;Jul;21;12:27:00;488964;DOORMAT KEEP CALM AND COME IN;6;21.8;28.34;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
372435;6393068;2019;Feb;18;12:47:00;435267;LUNCH BAG  BLACK SKULL ;30;2.28;4.1;United Kingdom;['Senior', 'Solo Entrepreneur', 'Loyal Client']
335958;6133270;2018;Sep;2;06:48:00;461748;PACK OF 6 SKULL PAPER PLATES;6;1.18;1.42;United Kingdom;['Young Adult', 'Corporation', 'New Client']
351666;6386996;2019;Feb;16;08:33:00;489720;GIANT 50'S CHRISTMAS CRACKER;36;1.73;2.25;United Kingdom;['Young Adult', 'Small Business', 'Loyal Client']
-1;6019728;2018;Jun;3;05:23:00;461580;PACK OF 12 RED RETROSPOT TISSUES ;3;1.15;1.61;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
300258;6255425;2018;Dec;10;09:32:00;1787079;JUMBO BAG RED RETROSPOT;60;2.48;3.97;United Kingdom;['Middle Age', 'Small Business', 'New Client']
330876;6037504;2018;Jun;16;10:00:00;486759;CLOCK MAGNET MUM'S KITCHEN;3;3.99;6.78;United Kingdom;['Middle Age', 'Corporation', 'Loyal Client']
305025;6352280;2019;Feb;1;07:37:00;455322;LARGE MEDINA STAMPED METAL BOWL ;6;6.84;8.89;United Kingdom;['Young Adult', 'Corporation', 'Loyal Client']
-1;6108674;2018;Aug;14;07:12:00;1780905;wet damaged;-288;0;0;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
364266;6092163;2018;Jul;31;07:41:00;482916;TRAVEL CARD WALLET VINTAGE TICKET;3;0.58;0.93;United Kingdom;['Senior', 'Corporation', '2-5 Year Client']
-1;5914326;2028;Feb;18;14:36:00;446418;VICTORIAN SEWING BOX LARGE;3;35.18;52.77;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
-1;5914040;2028;Feb;18;11:31:00;445872;STRAWBERRY CERAMIC TRINKET BOX;3;0;0;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
312438;6367405;2019;Feb;8;07:15:00;488964;DOORMAT KEEP CALM AND COME IN;30;9.78;13.69;United Kingdom;['Senior', 'Corporation', 'Loyal Client']
363783;6188259;2018;Oct;19;08:05:00;435204;RED RETROSPOT CHARLOTTE BAG;18;1.18;1.3;United Kingdom;['Middle Age', 'Corporation', '2-5 Year Client']
266301;5970085;2018;Apr;14;11:36:00;-1;POSTAGE;9;24.84;44.71;France;['Senior', 'Solo Entrepreneur', '2-5 Year Client']
369873;6195266;2018;Oct;26;08:08:00;460488;JUMBO BAG SCANDINAVIAN BLUE PAISLEY;15;2.88;4.9;United Kingdom;['Middle Age', 'Small Business', 'Loyal Client']
304815;6107574;2018;Aug;13;08:54:00;1012074;DOORMAT HEARTS;18;10.98;19.76;United Kingdom;['Middle Age', 'Corporation', 'Loyal Client']
-1;6030233;2018;Jun;10;12:40:00;487074;GYMKHANA TREASURE BOOK BOX;87;6.84;10.26;United Kingdom;['Middle Age', 'Solo Entrepreneur', '2-5 Year Client']
